Running in CPU mode	
Epoch 1.27 / 5, i = 97 / 1780, loss = 3.428350	
Epoch 1.28 / 5, i = 98 / 1780, loss = 3.338323	
Epoch 1.28 / 5, i = 99 / 1780, loss = 3.339073	
Epoch 1.28 / 5, i = 100 / 1780, loss = 3.333511	
Epoch 1.28 / 5, i = 101 / 1780, loss = 3.383069	
Epoch 1.29 / 5, i = 102 / 1780, loss = 3.337069	
Epoch 1.29 / 5, i = 103 / 1780, loss = 3.330701	
Epoch 1.29 / 5, i = 104 / 1780, loss = 3.388638	
Epoch 1.29 / 5, i = 105 / 1780, loss = 3.299097	
Epoch 1.30 / 5, i = 106 / 1780, loss = 3.300854	
Epoch 1.30 / 5, i = 107 / 1780, loss = 3.357319	
Epoch 1.30 / 5, i = 108 / 1780, loss = 3.307777	
Epoch 1.31 / 5, i = 109 / 1780, loss = 3.310270	
Epoch 1.31 / 5, i = 110 / 1780, loss = 3.272501	
Epoch 1.31 / 5, i = 111 / 1780, loss = 3.336082	
Epoch 1.31 / 5, i = 112 / 1780, loss = 3.345903	
Epoch 1.32 / 5, i = 113 / 1780, loss = 3.334968	
Epoch 1.32 / 5, i = 114 / 1780, loss = 3.327483	
Epoch 1.32 / 5, i = 115 / 1780, loss = 3.319843	
Epoch 1.33 / 5, i = 116 / 1780, loss = 3.365160	
Epoch 1.33 / 5, i = 117 / 1780, loss = 3.349936	
Epoch 1.33 / 5, i = 118 / 1780, loss = 3.336273	
Epoch 1.33 / 5, i = 119 / 1780, loss = 3.293202	
Epoch 1.34 / 5, i = 120 / 1780, loss = 3.261957	
Epoch 1.34 / 5, i = 121 / 1780, loss = 3.315905	
Epoch 1.34 / 5, i = 122 / 1780, loss = 3.290030	
Epoch 1.35 / 5, i = 123 / 1780, loss = 3.341221	
Epoch 1.35 / 5, i = 124 / 1780, loss = 3.335479	
Epoch 1.35 / 5, i = 125 / 1780, loss = 3.351277	
Epoch 1.35 / 5, i = 126 / 1780, loss = 3.315541	
Epoch 1.36 / 5, i = 127 / 1780, loss = 3.340903	
Epoch 1.36 / 5, i = 128 / 1780, loss = 3.330785	
Epoch 1.36 / 5, i = 129 / 1780, loss = 3.262685	
Epoch 1.37 / 5, i = 130 / 1780, loss = 3.295073	
Epoch 1.37 / 5, i = 131 / 1780, loss = 3.295700	
Epoch 1.37 / 5, i = 132 / 1780, loss = 3.334050	
Epoch 1.37 / 5, i = 133 / 1780, loss = 3.340916	
Epoch 1.38 / 5, i = 134 / 1780, loss = 3.304603	
Epoch 1.38 / 5, i = 135 / 1780, loss = 3.290740	
Epoch 1.38 / 5, i = 136 / 1780, loss = 3.354520	
Epoch 1.38 / 5, i = 137 / 1780, loss = 3.397533	
Epoch 1.39 / 5, i = 138 / 1780, loss = 3.293143	
Epoch 1.39 / 5, i = 139 / 1780, loss = 3.351636	
Epoch 1.39 / 5, i = 140 / 1780, loss = 3.305759	
Epoch 1.40 / 5, i = 141 / 1780, loss = 3.359392	
Epoch 1.40 / 5, i = 142 / 1780, loss = 3.342664	
Epoch 1.40 / 5, i = 143 / 1780, loss = 3.392303	
Epoch 1.40 / 5, i = 144 / 1780, loss = 3.347205	
Epoch 1.41 / 5, i = 145 / 1780, loss = 3.278475	
Epoch 1.41 / 5, i = 146 / 1780, loss = 3.330048	
Epoch 1.41 / 5, i = 147 / 1780, loss = 3.329590	
Epoch 1.42 / 5, i = 148 / 1780, loss = 3.333047	
Epoch 1.42 / 5, i = 149 / 1780, loss = 3.307815	
Epoch 1.42 / 5, i = 150 / 1780, loss = 3.318164	
Epoch 1.42 / 5, i = 151 / 1780, loss = 3.334661	
Epoch 1.43 / 5, i = 152 / 1780, loss = 3.386474	
Epoch 1.43 / 5, i = 153 / 1780, loss = 3.329057	
Epoch 1.43 / 5, i = 154 / 1780, loss = 3.349441	
Epoch 1.44 / 5, i = 155 / 1780, loss = 3.397159	
Epoch 1.44 / 5, i = 156 / 1780, loss = 3.297990	
Epoch 1.44 / 5, i = 157 / 1780, loss = 3.317517	
Epoch 1.44 / 5, i = 158 / 1780, loss = 3.329646	
Epoch 1.45 / 5, i = 159 / 1780, loss = 3.306561	
Epoch 1.45 / 5, i = 160 / 1780, loss = 3.303845	
Epoch 1.45 / 5, i = 161 / 1780, loss = 3.286304	
Epoch 1.46 / 5, i = 162 / 1780, loss = 3.283411	
Epoch 1.46 / 5, i = 163 / 1780, loss = 3.336078	
Epoch 1.46 / 5, i = 164 / 1780, loss = 3.283811	
Epoch 1.46 / 5, i = 165 / 1780, loss = 3.266102	
Epoch 1.47 / 5, i = 166 / 1780, loss = 3.341038	
Epoch 1.47 / 5, i = 167 / 1780, loss = 3.282100	
Epoch 1.47 / 5, i = 168 / 1780, loss = 3.317983	
Epoch 1.47 / 5, i = 169 / 1780, loss = 3.248537	
Epoch 1.48 / 5, i = 170 / 1780, loss = 3.298306	
Epoch 1.48 / 5, i = 171 / 1780, loss = 3.223988	
Epoch 1.48 / 5, i = 172 / 1780, loss = 3.254570	
Epoch 1.49 / 5, i = 173 / 1780, loss = 3.258673	
Epoch 1.49 / 5, i = 174 / 1780, loss = 3.265865	
Epoch 1.49 / 5, i = 175 / 1780, loss = 3.334838	
Epoch 1.49 / 5, i = 176 / 1780, loss = 3.287623	
Epoch 1.50 / 5, i = 177 / 1780, loss = 3.348529	
Epoch 1.50 / 5, i = 178 / 1780, loss = 3.325953	
Epoch 1.50 / 5, i = 179 / 1780, loss = 3.337903	
Epoch 1.51 / 5, i = 180 / 1780, loss = 3.307260	
Epoch 1.51 / 5, i = 181 / 1780, loss = 3.284822	
Epoch 1.51 / 5, i = 182 / 1780, loss = 3.269707	
Epoch 1.51 / 5, i = 183 / 1780, loss = 3.330543	
Epoch 1.52 / 5, i = 184 / 1780, loss = 3.357316	
Epoch 1.52 / 5, i = 185 / 1780, loss = 3.218940	
Epoch 1.52 / 5, i = 186 / 1780, loss = 3.282398	
Epoch 1.53 / 5, i = 187 / 1780, loss = 3.238963	
Epoch 1.53 / 5, i = 188 / 1780, loss = 3.285198	
Epoch 1.53 / 5, i = 189 / 1780, loss = 3.288915	
Epoch 1.53 / 5, i = 190 / 1780, loss = 3.266518	
Epoch 1.54 / 5, i = 191 / 1780, loss = 3.300998	
Epoch 1.54 / 5, i = 192 / 1780, loss = 3.278443	
Epoch 1.54 / 5, i = 193 / 1780, loss = 3.264208	
Epoch 1.54 / 5, i = 194 / 1780, loss = 3.265940	
Epoch 1.55 / 5, i = 195 / 1780, loss = 3.307582	
Epoch 1.55 / 5, i = 196 / 1780, loss = 3.318386	
Epoch 1.55 / 5, i = 197 / 1780, loss = 3.304568	
Epoch 1.56 / 5, i = 198 / 1780, loss = 3.279846	
Epoch 1.56 / 5, i = 199 / 1780, loss = 3.234672	
Epoch 1.56 / 5, i = 200 / 1780, loss = 3.370183	
Epoch 1.56 / 5, i = 201 / 1780, loss = 3.315670	
Epoch 1.57 / 5, i = 202 / 1780, loss = 3.293205	
Epoch 1.57 / 5, i = 203 / 1780, loss = 3.258845	
Epoch 1.57 / 5, i = 204 / 1780, loss = 3.343849	
Epoch 1.58 / 5, i = 205 / 1780, loss = 3.294719	
Epoch 1.58 / 5, i = 206 / 1780, loss = 3.288352	
Epoch 1.58 / 5, i = 207 / 1780, loss = 3.367123	
Epoch 1.58 / 5, i = 208 / 1780, loss = 3.314708	
Epoch 1.59 / 5, i = 209 / 1780, loss = 3.285495	
Epoch 1.59 / 5, i = 210 / 1780, loss = 3.361906	
Epoch 1.59 / 5, i = 211 / 1780, loss = 3.287304	
Epoch 1.60 / 5, i = 212 / 1780, loss = 3.288077	
Epoch 1.60 / 5, i = 213 / 1780, loss = 3.312072	
Epoch 1.60 / 5, i = 214 / 1780, loss = 3.356642	
Epoch 1.60 / 5, i = 215 / 1780, loss = 3.358465	
Epoch 1.61 / 5, i = 216 / 1780, loss = 3.372040	
Epoch 1.61 / 5, i = 217 / 1780, loss = 3.330283	
Epoch 1.61 / 5, i = 218 / 1780, loss = 3.383304	
Epoch 1.62 / 5, i = 219 / 1780, loss = 3.372481	
Epoch 1.62 / 5, i = 220 / 1780, loss = 3.388972	
Epoch 1.62 / 5, i = 221 / 1780, loss = 3.306992	
Epoch 1.62 / 5, i = 222 / 1780, loss = 3.314363	
Epoch 1.63 / 5, i = 223 / 1780, loss = 3.266156	
Epoch 1.63 / 5, i = 224 / 1780, loss = 3.281481	
Epoch 1.63 / 5, i = 225 / 1780, loss = 3.268216	
